Scaled Scores,BD,SI,DS,MR,VC,AR,SS,VP,IN,CD
1,0-3,0-6,0-10,0-1,0-4,0-4,0-7,0-1,0-1,0-18
2,4-6,7-8,11-12,2-3,5-7,5,8-10,2-3,2,19-23
3,7-10,9-11,13-14,4-5,8-11,6,11-13,4,3,24-29
4,11-15,12-13,15-16,6,12-15,7,14-16,5,4-5,30-35
5,16-19,14-16,17-18,7-8,16-20,8,17-19,6,6,36-41
6,20-24,17-18,19-20,9-10,21-23,9,20-21,7-8,7-8,42-46
7,25-28,19-20,21-22,11-12,24-27,10-11,22-24,9-10,9,47-51
8,29-33,21-22,23-24,13-14,28-32,12,25-26,11,10-11,52-56
9,34-37,23-24,25-26,15,33-36,13,27-29,12-13,12-13,57-62
10,38-41,25-27,27-28,16-17,37-40,14-15,30-31,14,14-15,63-67
11,42-46,28-29,29-30,18-19,41-44,16,32-34,15,16-17,68-72
12,47-50,30,31-32,20,45-47,17,35-37,16,18,73-78
13,51-54,31,33,21,48-50,18,38-39,17-18,19-20,79-83
14,55-57,32,34-35,22,51-52,19,40-41,19,21-22,84-88
15,58-60,33,36-37,23,53,20,42-43,20-21,23,89-92
16,61-62,34,38-39,24,54,-,44-45,22,24,93-97
17,63-64,35,40,25,55,21,46-47,23,25,98-101
18,65,-,41-42,-,56,-,48-49,24,-,102-104
19,66,36,43-48,26,57,22,50-60,25-26,26,105-135
