Scaled Scores,BD,SI,DS,MR,VC,AR,SS,VP,IN,CD
1,0-5,0-7,0-11,0-3,0-3,0-4,0-7,0-2,0,0-22
2,6-8,8-9,12-13,4,4-6,5,8-10,3-4,1,23-27
3,9-12,10-11,14-15,5-6,7-10,6,11-14,5,2,28-33
4,13-17,12-13,16-17,7-8,11-14,7,15-17,6,3,34-39
5,18-22,14-16,18-19,9-10,15-18,8,18-20,7,4-5,40-46
6,23-27,17-18,20-21,11-12,19-22,9,21-23,8-9,6-7,47-52
7,28-32,19-20,22-23,13-14,23-26,10,24-26,10-11,8,53-57
8,33-37,21-22,24-25,15-16,27-30,11-12,27-29,12-13,9-10,58-63
9,38-42,23-24,26-27,17,31-34,13,30-32,14,11-12,64-69
10,43-47,25-26,28-29,18-19,35-37,14,33-34,15-16,13,70-74
11,48-51,27-28,30-31,20,38-41,15-16,35-36,17,14-15,75-80
12,52-54,29,32-33,21,42-45,17,37-39,18-19,16-17,81-85
13,55-57,30-31,34-35,22,46-48,18,40-42,20,18,86-90
14,58-60,32,36,23,49-50,19,43-44,21,19-20,91-94
15,61-62,33,37-38,24,51-52,20,45-46,22-23,21-22,95-99
16,63,34,39,-,53,-,47-48,24,23,100-103
17,64,35,40-41,25,54,21,49-50,25,24,104-106
18,65,-,42,-,55,-,51-52,-,25,107-109
19,66,36,43-48,26,56-57,22,53-60,26,26,110-135
