Scaled Scores,BD,SI,DS,MR,VC,AR,SS,VP,IN,CD
1,0-4,0-7,0-10,0-2,0-4,0-4,0-7,0-2,0,0-21
2,5-7,8-9,11-12,3-4,5-7,5,8-10,3-4,1,22-26
3,8-11,10-12,13-14,5,8-11,6,11-14,5,2,27-32
4,12-16,13-14,15-16,6-7,12-15,7,15-17,6,3-4,33-38
5,17-21,15-16,17-18,8-9,16-19,8,18-20,7,5-6,39-44
6,22-26,17-18,19-20,10-11,20-23,9,21-22,8-9,7,45-50
7,27-30,19-20,21-23,12-13,24-27,10-11,23-25,10,8-9,51-56
8,31-35,21-22,24-25,14-15,28-31,12,26-28,11-12,10,57-61
9,36-40,23-24,26-27,16-17,32-35,13,29-31,13-14,11-12,62-67
10,41-45,25-27,28-29,18-19,36-39,14-15,32-33,15,13-14,68-72
11,46-49,28-29,30-31,20,40-43,16,34-36,16,15-16,73-78
12,50-53,30,32,21,44-47,17,37-39,17-18,17-18,79-83
13,54-56,31,33-34,22,48-49,18,40-41,19,19,84-88
14,57-59,32,35-36,23,50-52,19,42-43,20,20-21,89-92
15,60-61,33,37-38,24,53,20,44-45,21-22,22,93-96
16,62-63,34,39,-,54,-,46-47,23,23,97-100
17,64,35,40-41,25,55,21,48-49,24,24,101-104
18,65,-,42,-,56,-,50-51,25,25,105-107
19,66,36,43-48,26,57,22,52-60,26,26,108-135
