Scaled Scores,BD,SI,DS,MR,VC,AR,SS,VP,IN,CD
1,0-7,0-6,0-11,0-4,0-1,0-3,0-8,0-2,0,0-22
2,8-10,7-8,12-13,5,2-3,4,9-11,3-4,1,23-27
3,11-14,9-10,14-15,6-7,4-6,5,12-14,5,2,28-33
4,15-19,11-12,16-17,8-9,7-10,6,15-17,6,3,34-39
5,20-24,13-14,18-19,10-11,11-14,7-8,18-20,7,4-5,40-46
6,25-29,15-16,20-21,12-13,15-18,9,21-23,8-9,6-7,47-52
7,30-35,17-19,22-23,14,19-22,10,24-26,10-11,8,53-58
8,36-40,20-21,24-25,15-16,23-25,11,27-29,12-13,9-10,59-64
9,41-44,22,26-27,17-18,26-29,12-13,30-32,14-15,11-12,65-70
10,45-48,23-24,28-29,19,30-32,14,33-35,16-17,13,71-75
11,49-52,25-26,30-31,20-21,33-36,15,36-37,18,14-15,76-80
12,53-55,27,32,22,37-39,16-17,38-40,19-20,16,81-86
13,56-58,28-29,33-34,23,40-42,18,41-43,21,17-18,87-91
14,59-60,30,35-36,24,43-45,19,44-45,22,19-20,92-95
15,61-62,31,37,-,46-48,20,46-47,23,21,96-100
16,63,32,38-39,25,49-50,-,48-49,24,22,101-104
17,64,33,40,-,51-52,21,50-51,25,23,105-107
18,65,34,41-42,26,53,-,52-53,-,24,108-110
19,66,35-36,43-48,-,54-57,22,54-60,26,25-26,111-135
