Scaled Scores,BD,SI,DS,MR,VC,AR,SS,VP,IN,CD
1,0-3,0-5,0-9,0-1,0-3,0-4,0-6,0-1,0-1,0-15
2,4-6,6-7,10-11,2-3,4-6,5,7-8,2-3,2,16-20
3,7-10,8-10,12-13,4,7-10,6,9-11,4,3,21-25
4,11-14,11-12,14-15,5,11-15,7,12-14,5,4-5,26-30
5,15-18,13-15,16-17,6-7,16-19,8,15-17,6,6,31-35
6,19-22,16-17,18-19,8-9,20-23,9,18-19,7,7-8,36-41
7,23-25,18-19,20-21,10-11,24-27,10-11,20-22,8-9,9,42-26
8,26-30,20-22,22-23,12,28-31,12,23-24,10,10-11,47-52
9,31-33,23-24,24-25,13-14,32-36,13,25-26,11-12,12-13,53-56
10,34-37,25-26,26-27,15,37-40,14,27-29,13,14-15,57-62
11,38-42,27-28,28-29,16-17,41-44,15-16,30-32,14,16-17,63-67
12,43-46,29,30-31,18-19,45-47,17,33-34,15,18-19,68-71
13,47-50,30-31,32-33,20,48-50,18,35-37,16,20-21,72-78
14,51-54,32,34-35,21,51-52,19,38-39,17-18,22,79-83
15,55-57,33,36,22,53,20,40-41,19,23,84-88
16,58-60,34,37-38,23,54,-,42-43,20-21,24,89-92
17,61-63,35,39-40,24,55,21,44-45,22,25,93-97
18,64-65,-,41-42,25,56,-,46-47,23,-,98-101
19,66,36,43-48,26,57,22,48-60,24-26,26,102-135
