Scaled Scores,BD,SI,DS,MR,VC,AR,SS,VP,IN,CD
1,0-3,0-4,0-9,0-1,0-2,0-4,0-5,0-1,0-1,0-12
2,4-6,5-6,10-11,2,3-5,5,6-7,2,2,13-16
3,7-9,7-9,12-13,3,6-9,6,8-10,3,3,17-20
4,10-13,10-11,14-15,4,10-14,7,11-12,4,4-5,21-25
5,14-16,12-14,16,5-6,15-18,8,13-15,5,6,26-30
6,17-20,15-16,17-18,7,19-22,9,16-17,6,7-8,31-35
7,21-23,17-18,19-20,8-9,23-27,10,18-20,7-8,9,36-41
8,24-27,19-21,21-22,10-11,28-31,11,21-22,9,10-11,42-46
9,28-30,22-23,23-24,12,32-35,12-13,23-24,10,12-13,47-51
10,31-34,24-25,25-26,13-14,36-39,14,25-27,11-12,14-15,52-56
11,35-38,26-27,27-28,15-16,40-43,15,28-29,13,16-17,57-62
12,39-42,28-29,29-30,17,44-46,16,30-32,14,18-19,63-66
13,43-46,30,31-32,18-19,47-49,17,33-34,15,20-21,67-72
14,47-50,31-32,33-34,20-21,50-52,18-19,35-36,16-17,22,73-78
15,51-54,33,35,22,53,20,37-39,18,23,79-83
16,55-57,34,36-37,23,54,-,40-41,19,24,84-87
17,58-61,35,38-39,24,55,21,42-43,20-21,25,88-92
18,62-65,-,40-41,25,56,-,44-45,22,-,93-97
19,66,36,42-48,26,57,22,46-60,23-26,26,98-135
