Scaled Scores,BD,SI,DS,MR,VC,AR,SS,VP,IN,CD
1,0-6,0-7,0-11,0-4,0-1,0-3,0-8,0-2,0,0-22
2,7-9,8-9,12-13,5,2-4,4,9-11,3-4,1,23-27
3,10-13,10-11,14-15,6-7,5-8,5,12-14,5,2,28-33
4,14-18,12-13,16-17,8-9,9-12,6,15-17,6,3,34-39
5,19-23,14-15,18-19,10-11,13-16,7-8,18-20,7,4-5,40-46
6,24-29,16-17,20-21,12-13,17-20,9,21-23,8-9,6-7,47-52
7,30-34,18-19,22-23,14,21-24,10,24-26,10-11,8,53-58
8,35-39,20-21,24-25,15-16,25-27,11,27-29,12-13,9-10,59-64
9,40-44,22-23,26-27,17-18,28-31,12-13,30-32,14-15,11-12,65-70
10,45-48,24-25,28-29,19,32-34,14,33-35,16-17,13,71-75
11,49-52,26-27,30-31,20-21,35-37,15,36-37,18,14-15,76-80
12,53-55,28,32-33,22,38-41,16-17,38-40,19,16-17,81-86
13,56-58,29-30,34-35,23,42-44,18,41-43,20-21,18,87-91
14,59-60,31,36,24,45-47,19,44-45,22,19-20,92-95
15,61-62,32,37-38,-,48-49,20,46-47,23,21,96-100
16,63,33,39,25,50-51,-,48-49,24,22,101-104
17,64,34,40-41,-,52,21,50-51,25,23,105-107
18,65,35,42,26,53,-,52-53,-,24,108-110
19,66,36,43-48,-,54-57,22,54-60,26,25-26,111-135
